Level,School,Region,Regional_Wages,Program,Residents,Wages,Sample Cohort,,
Comprehensive,Onondaga ,Central New York,"31,323",Social Services,71,35928,35,,
Comprehensive,Onondaga ,Central New York,"31,323",Hospitality,0,0,0,,
Comprehensive,Onondaga ,Central New York,"31,323",Education,0,0,0,,
Comprehensive,Onondaga ,Central New York,"31,323",Computers and Math,75,47150,21,,
Comprehensive,Onondaga ,Central New York,"31,323",Business and Finance,66.7,48103,47,,
Comprehensive,Onondaga ,Central New York,"31,323",Protective Services,73.2,66569,80,,
Comprehensive,Onondaga ,Central New York,"31,323",Health,70.3,55305,96,,
Community,Cayuga County,Central New York,"31,323",Agriculture,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Art,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Technical trades,77.3,41864,12,,
Community,Cayuga County,Central New York,"31,323",Communications and Media ,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Law and Public Service,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Engineering,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Social Services,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Hospitality,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Education,0,0,0,,
Community,Cayuga County,Central New York,"31,323",Computers and Math,66.7,48409,12,,
Community,Cayuga County,Central New York,"31,323",Business and Finance,72.4,37453,58,,
Community,Cayuga County,Central New York,"31,323",Protective Services,76,46891,63,,
Community,Cayuga County,Central New York,"31,323",Health,84.1,68241,45,,
Doctoral,Upstate Medical,Central New York,"31,323",Agriculture,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Art,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Technical trades,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Communications and Media,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Law and Public Service,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Engineering,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Social Services,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Hospitality,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Education,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Computers and Math,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Business and Finance,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Protective Services,0,0,0,,
Doctoral,Upstate Medical,Central New York,"31,323",Health,53.4,107611,251,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Agriculture,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Art,50,63390,39,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Technical trades,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Communications and Media,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Law and Public Service,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Engineering,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Social Services,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Hospitality,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Education,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Computers and Math,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Business and Finance,60.6,89372,17,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Protective Services,0,0,0,,
Doctoral,Environmental Science and Forestry,Central New York,"31,323",Health,0,0,0,,
Community,Cortland,Central New York,"31,323",Agriculture,0,0,0,,
Community,Cortland,Central New York,"31,323",Art,63.2,44918,19,,
Community,Cortland,Central New York,"31,323",Technical trades,0,0,0,,
Community,Cortland,Central New York,"31,323",Communications and Media,64.8,59815,73,,
Community,Cortland,Central New York,"31,323",Law and Public Service,0,0,0,,
Community,Cortland,Central New York,"31,323",Engineering,0,0,0,,
Community,Cortland,Central New York,"31,323",Social Services,0,0,0,,
Community,Cortland,Central New York,"31,323",Hospitality,59.4,58121,140,,
Community,Cortland,Central New York,"31,323",Education,78,61140,861,,
Community,Cortland,Central New York,"31,323",Computers and Math,0,0,0,,
Community,Cortland,Central New York,"31,323",Business and Finance,75.5,60762,70,,
Community,Cortland,Central New York,"31,323",Protective Services,0,0,0,,
Community,Cortland,Central New York,"31,323",Health,53.3,55073,20,,
Community,Morrisville,Central New York,"31,323",Agriculture,52.2,38526,76,,
Community,Morrisville,Central New York,"31,323",Art,0,0,0,,
Community,Morrisville,Central New York,"31,323",Technical trades,73.55,52552,103,,
Community,Morrisville,Central New York,"31,323",Communications and Media,0,0,0,,
Community,Morrisville,Central New York,"31,323",Law and Public Service,0,0,0,,
Community,Morrisville,Central New York,"31,323",Engineering,0,0,0,,
Community,Morrisville,Central New York,"31,323",Social Services,0,0,0,,
Community,Morrisville,Central New York,"31,323",Hospitality,0,0,0,,
Community,Morrisville,Central New York,"31,323",Education,0,0,0,,
Community,Morrisville,Central New York,"31,323",Computers and Math,55.4,73023,30,,
Community,Morrisville,Central New York,"31,323",Business and Finance,66.3,37497,60,,
Community,Morrisville,Central New York,"31,323",Protective Services,0,0,0,,
Community,Morrisville,Central New York,"31,323",Health,73.8,63232,42,,
Comprehensive,Brockport,Finger Lakes,"31,621",Agriculture,0,0,0,,
Comprehensive,Brockport,Finger Lakes,"31,621",Art,58.5,36155,43,,
Comprehensive,Brockport,Finger Lakes,"31,621",Technical trades,0,0,0,,
Comprehensive,Brockport,Finger Lakes,"31,621",Communications and Media,64.6,48810,113,,
Comprehensive,Brockport,Finger Lakes,"31,621",Law and Public Service,0,0,0,,
Comprehensive,Brockport,Finger Lakes,"31,621",Engineering,0,0,0,,
Comprehensive,Brockport,Finger Lakes,"31,621",Social Services,68.5,56919,105,,
Comprehensive,Brockport,Finger Lakes,"31,621",Hospitality,49.2,48286,24,,
Comprehensive,Brockport,Finger Lakes,"31,621",Education,80.5,62819,588,,
Comprehensive,Brockport,Finger Lakes,"31,621",Computers and Math,63.5,81271,31,,
Comprehensive,Brockport,Finger Lakes,"31,621",Business and Finance,67.7,59903,205,,
Comprehensive,Brockport,Finger Lakes,"31,621",Protective Services,65.1,53094,98,,
Comprehensive,Brockport,Finger Lakes,"31,621",Health,69.8,50691,115,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Agriculture,0,0,0,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Art,54.2,43741,21,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Technical trades,0,0,0,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Communications and Media,55.1,56829,46,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Law and Public Service,0,0,0,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Engineering,0,0,0,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Social Services,0,0,0,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Hospitality,0,0,0,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Education,65.7,54659,133,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Computers and Math,74.55,85242,32,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Business and Finance,59.1,76328,142,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Protective Services,0,0,0,,
Comprehensive,Geneseo,Finger Lakes,"31,621",Health,70,54284,41,,
Community,Genesee Community,Finger Lakes,"31,621",Agriculture,0,0,0,,
Community,Genesee Community,Finger Lakes,"31,621",Art,70,34229,11,,
Community,Genesee Community,Finger Lakes,"31,621",Technical trades,82.4,43955,13,,
Community,Genesee Community,Finger Lakes,"31,621",Communications and Media,0,0,0,,
Community,Genesee Community,Finger Lakes,"31,621",Law and Public Service,0,0,0,,
Community,Genesee Community,Finger Lakes,"31,621",Engineering,0,0,0,,
Community,Genesee Community,Finger Lakes,"31,621",Social Services,60.9,30195,20,,
Community,Genesee Community,Finger Lakes,"31,621",Hospitality,0,0,0,,
